TEMPERATURA_MEDIA;TEMPERATURA_MINIMA;TEMPERATURA_MAXIMA;PRECIPITACAO;FINAL_SEMANA;CONSUMO_CERVEJA
27.3;23.9;32.5;0;NÃO;25.461
27.02;24.5;33.5;0;NÃO;28.972
24.82;22.4;29.9;0;SIM;30.814
23.98;21.5;28.6;1.2;SIM;29.799
23.82;21;28.3;0;NÃO;28.900
23.78;20.1;30.5;12.2;NÃO;28.218
24;19.5;33.7;0;NÃO;29.732
24.9;19.5;32.8;48.6;NÃO;28.397
28.2;21.9;34;4.4;NÃO;24.886
26.76;22.1;34.2;0;SIM;37.937
27.62;22.2;34.8;3.4;SIM;36.254
25.96;21.4;35.4;0;NÃO;25.743
25.52;21.2;34.8;0.8;NÃO;26.990
25.96;21.3;34;1.6;NÃO;31.825
25.86;21.5;32.8;3;NÃO;25.724
26.5;22.3;32.7;2;NÃO;29.938
28.86;22;35.8;0;SIM;37.690
28.26;23.4;35.6;0;SIM;30.524
28.22;22.7;36.5;3.7;NÃO;29.265
27.68;23.3;35.6;0.6;NÃO;35.127
25.32;22.7;30.9;0;NÃO;29.130
21.74;19.2;26.1;31;NÃO;25.795
21.04;18.5;26.1;3.6;NÃO;21.784
23.12;19;29.4;13;SIM;28.348
24.4;18.1;30;0;SIM;31.088
22.4;18.9;28.7;20.8;NÃO;21.520
23.6;20.5;28.7;1.2;NÃO;29.972
25.68;20.1;29.9;4.9;NÃO;22.603
25;21.5;29.2;0;NÃO;22.696
22.8;20.9;26.9;0;NÃO;26.845
21.64;18.5;24.3;0.2;SIM;27.030
24.16;20.6;28;0;SIM;32.057
22.48;20.7;26.5;4.5;NÃO;24.097
23.16;18;31.1;1.6;NÃO;31.655
22.12;19.9;23.7;3.2;NÃO;24.738
20.28;19.1;22.9;5.6;NÃO;19.950
21.06;17.9;25.4;18.4;NÃO;22.821
21.86;17.3;28.7;16.7;SIM;28.893
22.76;17.1;29.5;10.4;SIM;29.926
24;19.3;30.7;0;NÃO;24.062
23.92;20.1;29;32.2;NÃO;21.137
25.38;19.9;30.4;2.2;NÃO;26.805
27.66;23.1;32.7;0;NÃO;26.389
25.54;22.5;32.1;0;NÃO;24.219
24.32;21.1;31.6;0;SIM;30.231
22.9;20;27.6;17.4;SIM;24.968
21.6;18.8;27.3;22.7;NÃO;25.343
22.76;19.7;28;85.3;NÃO;17.399
22.22;19.9;26.4;13.4;NÃO;21.392
23.92;19.9;28.5;2.4;NÃO;22.922
24.72;21.7;28.2;0;NÃO;24.567
25.2;21.4;31.1;0;SIM;30.943
24.44;20.4;30.8;0;SIM;30.825
25.4;20.7;31.4;0;NÃO;25.692
24.3;20.5;31.9;0;NÃO;26.959
22.24;19.3;29.3;2;NÃO;25.366
24.1;19.2;30.3;34.4;NÃO;22.784
24.64;20.4;31.4;0.6;NÃO;26.241
22.4;19.7;27.7;0;SIM;26.467
21.26;18.2;26.3;3;SIM;27.475
22.16;17.2;29.2;0;NÃO;28.749
23.16;19.5;29.5;0;NÃO;24.146
23.68;18.9;30.5;0;NÃO;22.988
24.42;19.7;31.6;0;NÃO;30.300
22.6;19.4;28.5;0;NÃO;22.654
21.92;19.4;26.6;38.2;SIM;29.090
22.2;19.7;24.4;69.2;SIM;24.619
21.36;19.7;23.3;77;NÃO;20.016
23.12;21.2;26.9;9.7;NÃO;23.042
22.88;20.1;28.1;9.5;NÃO;22.933
22.26;19.2;26.9;1.2;NÃO;22.409
22.34;20;26.6;0;NÃO;21.281
22.88;19.9;27.9;12.2;SIM;28.844
22.08;19.1;26.8;0.3;SIM;32.872
21.92;18.6;29.4;22.4;NÃO;20.903
21.92;18.6;25.6;24.2;NÃO;26.275
21.24;19.7;24.1;0;NÃO;20.167
21.78;19.2;27.1;3.2;NÃO;23.628
21.64;18.9;28.2;7.4;NÃO;24.213
20.88;18.5;25.3;14.7;SIM;28.631
19.7;18.1;22.8;1.7;SIM;25.855
19.88;17.1;23.3;19.2;NÃO;21.406
20.98;17.4;26.3;0;NÃO;21.617
21.56;17.1;27.9;0;NÃO;22.401
22.98;18.3;29.8;0;NÃO;27.989
23.32;18;30.8;0;NÃO;24.974
23.28;19.1;29.5;0;SIM;29.760
22.14;20.5;26.6;0;SIM;26.116
22.5;19;25.9;18.6;NÃO;25.850
23.14;20.1;29;1;NÃO;24.925
22.52;19.2;27.5;0;NÃO;21.979
20.92;18.2;26.2;0;NÃO;22.116
21.02;16.3;27.2;0;NÃO;24.867
22.36;17.9;29.4;0;SIM;33.450
22.82;20.1;26.4;0;SIM;32.713
21.36;18.5;27.7;0;NÃO;22.356
17.38;16.1;20;7.1;NÃO;21.004
18.68;14.7;24.3;0.4;NÃO;23.362
19.4;15.9;25.6;0;NÃO;20.298
20.46;17;25.5;0;NÃO;24.862
21.74;17.2;28.4;0;SIM;30.505
19.92;16.8;25.7;0;SIM;25.070
20.88;18.1;25.7;0;NÃO;22.620
21.7;18.4;28.8;0;NÃO;22.001
21.94;18.5;27.4;0;NÃO;23.469
21.26;18.6;26.7;25.4;NÃO;21.735
21.42;18.4;27;37.2;NÃO;21.593
23.36;18.2;29.3;0;SIM;33.822
22.5;20.3;27.2;0;SIM;28.028
24;19.3;29.2;20.2;NÃO;24.304
22.52;19.3;29;0;NÃO;31.108
20.06;18.9;21.6;2.4;NÃO;19.113
21.2;18.6;24.9;14.6;NÃO;23.198
22.52;19.3;28.1;0;NÃO;24.388
19.18;17.4;23.3;0;SIM;27.420
19.04;16.1;23.7;0.8;SIM;30.479
19.82;17.5;24.9;0;NÃO;21.838
20.26;17.2;26.9;0;NÃO;20.812
18.66;16.8;22.7;0;NÃO;19.761
16.22;14.7;18.7;0;NÃO;20.452
17.34;13.4;22;0;NÃO;17.939
19.26;14.7;26.4;0;SIM;25.272
21.04;15.8;26.3;0;SIM;28.049
19.96;17.9;22.3;1;NÃO;25.317
18.14;16.6;20.8;9.9;NÃO;21.826
17.76;15.9;20.4;0;NÃO;20.680
17.8;15.8;21.7;0;NÃO;19.143
16.14;13.9;19.2;0;NÃO;18.146
18.04;13.7;26.1;0;SIM;25.489
16.94;13.7;21;0;SIM;23.537
17.86;15.7;20.6;22.2;NÃO;16.956
17.12;14.2;21.7;0;NÃO;19.052
16.34;14.7;18.9;2.8;NÃO;17.287
16.72;14.2;21;0;NÃO;20.300
16.84;13.6;21.5;0;NÃO;20.538
17.18;13.2;22.3;0;SIM;23.702
18.26;15.4;22.4;0;SIM;28.411
18.6;16.6;21.3;0;NÃO;21.073
18.64;17;22.9;0;NÃO;24.215
18.74;15.9;23.3;0.2;NÃO;19.525
19.46;16.3;25;0;NÃO;20.786
20.26;16.3;25.4;0;NÃO;20.429
19.94;15.9;24.4;0;SIM;27.250
21.8;17.9;26.3;0;SIM;31.387
22.06;17.5;27.4;0;NÃO;26.075
21.28;19.7;24.8;0;NÃO;22.162
22.94;19.7;27.1;0;NÃO;24.258
18.56;16.8;23.2;1.8;NÃO;24.683
17.68;15.3;21.9;7.2;NÃO;21.245
17.52;13.1;22.9;0;SIM;25.937
16.28;13.6;18.4;5.6;SIM;26.081
16.28;15.2;18;2.2;NÃO;16.228
16.04;15;17.5;0.5;NÃO;20.106
17.94;15;21.7;0;NÃO;21.055
18.36;14.6;24.1;0;NÃO;22.772
18.32;14.1;25.3;0;NÃO;25.142
19.66;13.8;26.1;0;SIM;31.129
20.62;15.9;26.2;0;SIM;30.498
20.86;15.2;26.4;0;NÃO;26.150
20.32;15.2;26;0;NÃO;21.327
20.54;15.5;26.2;0;NÃO;22.008
22.72;17.5;26.9;0;NÃO;24.615
18.8;16.9;23.5;0;NÃO;22.375
21.1;15.5;27.4;0;SIM;29.607
22.76;18.1;27.3;0;SIM;32.983
16.02;13.1;23.4;0;NÃO;19.119
14.82;12.1;18.1;9;NÃO;21.029
19.8;13.9;25.1;0;NÃO;23.898
19.88;15.8;26.2;0;NÃO;24.534
14.66;13.2;17.7;3.8;NÃO;16.748
15.82;12.5;20.4;0;SIM;23.055
17.32;12.6;24.6;0;SIM;28.857
18.54;13.1;24.6;0;NÃO;23.022
19.02;14.4;25.5;0;NÃO;27.146
14.54;13.9;18;3.8;NÃO;17.241
14.72;12.1;17.4;1;NÃO;19.463
15.26;12;20.9;0;NÃO;21.860
15.34;10.6;20.8;0;SIM;24.227
15.48;11.2;21.8;0;SIM;27.594
17.2;11;24.4;0;NÃO;24.863
19.36;13.2;25.1;0;NÃO;20.161
17.78;16.2;20.5;0;NÃO;20.824
17.2;15.1;19.9;1.6;NÃO;19.727
17.52;15.6;18.4;17.8;NÃO;14.940
14.94;10.9;21;15.2;SIM;24.632
12.9;11;14.5;4.4;SIM;21.294
15.78;11.3;20.6;0;NÃO;18.448
16.8;13.3;20.2;0;NÃO;21.237
17.02;14.9;18.7;4.5;NÃO;19.849
17.54;15.3;20.4;0;NÃO;20.740
19.24;14;25.4;0;NÃO;25.698
17.46;16;19.8;0;SIM;26.691
20.32;14;27.4;3;SIM;33.298
22.06;16.7;28.7;0;NÃO;25.640
23.3;18.4;29.3;0;NÃO;23.937
20.18;17.2;27.6;0;NÃO;28.742
19.88;16.2;25.8;0;NÃO;21.748
19.14;15.8;24.3;0;NÃO;22.032
20.2;18.2;23.8;0;SIM;24.827
19.98;14.6;25.9;0;SIM;32.473
20.56;14.9;25.1;0;NÃO;20.620
16.72;14;21.4;0;NÃO;21.825
14.52;12.8;16.1;0;NÃO;14.343
17.02;13.6;20.6;0;NÃO;19.029
18.46;14.3;25.8;0;NÃO;21.104
15.9;14.9;17.9;16.6;SIM;20.738
16.82;13.6;22.9;2;SIM;25.233
16.6;11;24.2;0;NÃO;18.975
16.46;11.6;24.5;0;NÃO;19.640
16.2;11;23.8;0;NÃO;22.522
16.76;11.3;26.7;0;NÃO;24.227
19.24;12.8;26.6;0;NÃO;24.726
19.78;14.3;26.4;0;SIM;32.467
20.1;13.8;26.3;0;SIM;31.663
21.16;14.9;26.9;0;NÃO;25.867
21.04;15.2;27.4;0;NÃO;27.724
20.96;15;27.2;0;NÃO;22.039
21.06;16.3;27.7;0;NÃO;26.127
22.08;15.5;28.9;0;NÃO;26.580
21.16;16;27.8;0;SIM;31.310
19.62;15.6;26.2;0;SIM;33.517
21.2;15.6;28;0;NÃO;23.181
19.6;15.2;27.2;0;NÃO;24.183
20.12;14.1;26.6;0;NÃO;24.594
20.42;14.1;28.1;0;NÃO;22.610
20.86;15.3;27.6;0;NÃO;25.479
21.44;15.6;27.8;0;SIM;29.621
20.56;16.2;27.2;0;SIM;26.272
21.58;15.3;28;0;NÃO;22.541
21.3;16.7;26.5;0;NÃO;23.070
20.74;17.3;28.3;0;NÃO;26.021
16.2;14.8;19.6;0;NÃO;17.655
16.84;13.2;22.1;1;NÃO;23.243
18.08;14.1;26.2;0;SIM;30.177
20.22;13.5;30;0;SIM;27.518
16.98;15.1;20.5;0;NÃO;23.210
16.98;14.3;20.5;2.4;NÃO;21.092
18.92;14.8;24;0.6;NÃO;23.357
16.1;13.8;19.8;2.6;NÃO;17.888
16.28;12.8;22.1;25;NÃO;22.217
18.46;12.2;26.7;0;SIM;31.681
22.52;14.3;32;0;SIM;31.833
24.54;16.6;32.2;0;NÃO;28.441
21.44;17.2;30.7;0;NÃO;22.389
16.1;14.1;20.2;0.4;NÃO;20.681
19.3;14.8;25;0;NÃO;24.222
16.66;15.2;19.3;0;NÃO;19.345
16.12;14.4;18.5;2.4;SIM;21.827
16.48;13.3;19.9;0;SIM;23.566
18.72;13.8;24.4;0.1;NÃO;20.227
17.08;15.8;19.2;23.6;NÃO;17.075
18.82;15.8;22.9;58;NÃO;16.977
18.92;13.9;25.6;0;NÃO;21.525
16.88;14.1;21.8;31.8;NÃO;21.454
14;12.8;15.6;27.6;SIM;21.814
14.18;12.5;16.1;0;SIM;21.252
16.46;13;22.5;0.2;NÃO;20.464
21.18;14.4;30.1;0;NÃO;30.775
25.24;17.2;32.6;0;NÃO;25.343
27.26;20.4;33;0;NÃO;33.930
28.06;21.3;34.5;0;NÃO;26.311
28;21.1;35.5;0;SIM;31.836
23.6;19.2;33.3;0;SIM;34.695
24.72;17.4;32.8;0;NÃO;29.829
25.7;18.9;33.3;0;NÃO;26.362
26.14;18.3;34;0;NÃO;32.589
28.3;20.5;35.3;0;NÃO;30.345
23.24;19.2;30.3;0;NÃO;29.411
20.58;18.2;24.9;28.6;SIM;29.637
22.3;18.2;30.6;1.8;SIM;32.184
21.22;17.5;23.6;27.2;NÃO;17.731
21.8;17.5;27.1;0;NÃO;24.114
21.52;18.6;27.6;0;NÃO;28.034
20.96;17.6;26.4;7.6;NÃO;22.664
24.74;19.3;32.7;0;NÃO;27.488
20.28;16.1;25;25;SIM;24.876
18.6;17.1;21.3;0.2;SIM;24.862
17.36;14.8;22.4;0;NÃO;24.679
18.26;14.6;24.7;0;NÃO;22.304
24.5;15.9;32.6;0;NÃO;30.329
26.56;19.3;34;0;NÃO;33.182
24.52;19.8;29;0;NÃO;23.849
23.06;19.6;28;0.3;SIM;33.330
22.48;19.6;30;0;SIM;34.496
22.76;19;29.6;0;NÃO;26.249
21.4;18.1;27.6;2.4;NÃO;26.523
23.62;18.2;28.5;0;NÃO;26.793
28.12;18.9;35.8;0;NÃO;35.861
26.24;21.3;35.7;0;NÃO;27.387
21.22;17.3;29.2;0;SIM;32.666
16.76;15.5;19.2;0.1;SIM;22.199
19.86;15.5;27.2;0;NÃO;24.000
26.3;17.2;35.3;0;NÃO;27.871
24.62;21.3;32;0;NÃO;31.139
19.9;17.7;22.8;14.6;NÃO;23.065
20.5;17.6;27.3;13.4;NÃO;26.594
17.94;16.2;21.2;0;SIM;27.657
17.64;15.7;19.2;0;SIM;26.594
20.86;16;28.5;28.4;NÃO;28.084
22;19.1;28.4;0.1;NÃO;27.582
20.42;18.6;23.9;0;NÃO;24.862
20.56;18.2;24.8;0;NÃO;22.634
23.86;19.1;31.2;0;NÃO;31.649
23.18;18.2;29.3;0;SIM;35.781
20.22;18.7;22.4;27.2;SIM;24.429
21.82;18.3;27.2;39.6;NÃO;20.648
21.86;19.5;25.6;3.4;NÃO;22.741
21.52;18.6;27.4;6.8;NÃO;21.479
21.8;18.2;24.8;39.3;NÃO;23.134
19.76;18;22.8;0;NÃO;20.575
18.3;16.8;20;1.2;SIM;24.330
20.24;17.4;23.9;0.6;SIM;28.610
22.98;18.7;29.5;4.4;NÃO;28.456
23.72;19.4;31.8;10.4;NÃO;27.964
26.2;19.8;32.7;0;NÃO;29.569
23.78;20.8;31.8;0;NÃO;29.267
22.78;19.4;29.6;0;NÃO;28.647
25.06;19.5;30.4;16.4;SIM;26.836
23.06;19.8;29.7;8;SIM;29.386
21.16;19.4;24.9;0;NÃO;24.609
21.76;17.7;29.7;0;NÃO;26.964
25.5;17.6;30.5;14.1;NÃO;23.614
26.16;23.3;30.4;0;NÃO;22.960
23.28;19.6;27;6.8;NÃO;20.332
19.44;17.2;24.4;7.2;SIM;30.392
22.26;17.1;28.8;0;SIM;31.933
20.8;19.6;23.6;13.6;NÃO;21.662
21.36;19.3;22.6;7;NÃO;21.689
21.26;19.3;24.8;0.4;NÃO;25.119
22.28;19;27.4;0;NÃO;25.285
22.28;17.6;28.4;0;NÃO;28.979
23.7;18.7;29.8;0;SIM;34.382
22.38;20.5;26;17.4;SIM;30.617
19.1;16.7;23.3;23.4;NÃO;20.238
20.1;16.4;25.8;0;NÃO;24.529
22.1;18.2;29.4;0;NÃO;30.471
22.44;20.2;26.1;0;NÃO;28.405
22.76;19;29.1;0;NÃO;29.513
24.8;19.5;30.6;0.1;SIM;32.451
23.12;20.6;28;0.1;SIM;32.780
20.04;18;23.9;47.8;NÃO;23.375
21.7;18;28;0;NÃO;27.713
23.96;19.6;27.9;0;NÃO;27.137
24;22.2;27.7;0;NÃO;22.933
24.04;20.7;30.3;0;NÃO;30.740
23.92;20.6;30.8;0;SIM;29.579
24.54;19.3;31;12.2;SIM;29.188
26.28;21.1;32.5;2;NÃO;28.131
25.66;20.6;32.8;4;NÃO;28.617
22.04;20.7;24.8;1.5;NÃO;21.062
23.32;18.9;28.7;0;NÃO;24.337
26.42;19.6;33.5;0.1;NÃO;27.042
23.74;19.8;31.3;1.3;SIM;32.536
22.84;19.6;29;8.4;SIM;30.127
23.12;19.6;29.1;27.2;NÃO;24.834
24.6;19.6;32.4;43;NÃO;26.828
27.46;22.1;32.4;3;NÃO;26.468
24.72;20.5;31.5;3.4;NÃO;31.572
23.58;17.8;31;39;NÃO;26.308
23.34;17.8;29.8;94.8;SIM;21.955
24;21.1;28.2;13.6;SIM;32.307
22.64;21.1;26.7;0;NÃO;26.095
21.68;20.3;24.1;10.3;NÃO;22.309
21.38;19.3;22.4;6.3;NÃO;20.467
24.76;20.2;29;0;NÃO;22.446
